,Topic,Count,Name,Representation,Representative_Docs
31,30,229,30_him_he_his_ion,"['him', 'he', 'his', 'ion', 'ex', 'told', 'me', 'bitch', 'nigga', 'talkin']","['This nigga think I like him cause I said lol bitch wtf', 'This bitch ass nigga better let me love him before i get mad', 'This nigga make me wanna take him out on a date type shit💀😭 I miss him🥺 but I don’t wanna talk to him😒']"
32,31,225,31_fairy_garden_mermaid_flowers,"['fairy', 'garden', 'mermaid', 'flowers', 'tale', 'plant', 'faerie', 'fairies', 'wings', 'godmother']","['she sounds like what a little fairy would talk like', 'taylor is a fairy', 'The most beautiful fairy 🥰🥰🥰🥰']"
33,32,224,32_aliens_ufo_alien_illegal,"['aliens', 'ufo', 'alien', 'illegal', 'ufos', 'ancient', 'government', 'neca', 'abducted', 'independence']","['Here come the aliens', 'Are aliens racist?', 'Aliens 👽 #aliens What do you think?']"
34,33,221,33_team_sports_nfl_football,"['team', 'sports', 'nfl', 'football', 'players', 'derby', 'fans', 'ace', 'prep', 'liverpool']","['You best believe when sports are allowing fans again, that I will be standing in solidarity along side the players… https://t.co/xuEndnVo6s', 'You best believe when sports are allowing fans again, that I will be standing in solidarity along side the players… https://t.co/q8Cgdr2rFZ', '@JayHSalem Washington Football team is the stupidest name in sports. As stupid as Kansas City fans booing the teams showing unity tonight.']"
35,34,214,34_vote_voted_voters_president,"['vote', 'voted', 'voters', 'president', 'trump', 'he', 'bernie', 'biden', 'realdonaldtrump', 'lincoln']","['why vote for someone you have no faith in? cause plenty of black folks voted for him', '@sartaaq @ZacAKAMadu @BernieSanders Most black people voted for Biden. Bernie ""I want to primary Obama"" Sanders lost the black vote', '@NicksmPlus @JaimeRaulZepeda @DrJasonJohnson Most white ppl who voted voted for Trump. Most black people who voted voted against Trump.']"
36,35,210,35_hair_haircut_shave_facial,"['hair', 'haircut', 'shave', 'facial', 'beard', 'haircuts', 'barber', 'cut', 'hairstyle', 'shaved']","['My hair really be my pride &amp; joy', 'being able to wear your hair down on the west side is straight hair privilege', 'I love niggas with a lot of hair.']"
37,36,205,36_game_games_gaming_play,"['game', 'games', 'gaming', 'play', 'zelda', 'playing', 'playstation', 'gta', 'gameplay', 'affiliate']","['That video game be serious to these niggas lol', 'I got no more free game for you niggas I really dont....ima gaming my self now', 'How tf are niggas this good at the game']"
38,37,203,37_privilege_white_whiteprivilege_privileged,"['privilege', 'white', 'whiteprivilege', 'privileged', 'poc', 'oppressed', 'their', 'supremacy', 'reparations', 'use']","['I like it when white people use their privilege for good 🤷🏽\u200d♂️', 'White privilege men when they don’t get what they want 👀🙄', 'white people don’t see their privilege AT ALL']"
39,38,189,38_students_school_teachers_schools,"['students', 'school', 'teachers', 'schools', 'teacher', 'student', 'education', 'college', 'professors', 'professor']","['A college sends this out for a call of plays...\n\nAnd I can imagine how the black students and students of color fee… https://t.co/uDbtl1Kw5D', 'You can’t be what you never seen! If we want more black teachers we need our students to see more black teachers! T… https://t.co/aEZX68SeKY', 'Ion like it.. all the white schools to go to and you choose a space meant for black students🥴']"
40,39,178,39_gt_dumb_ratchetassd3_crazy,"['gt', 'dumb', 'ratchetassd3', 'crazy', 'barbchairscott', 'fuck', 'ass', 'real', 'nigga', 'jabroni']","['@RatchetAssD3 So what nigga !', '@Lostxvayne13 Fuck that nigga Roxas &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; 🥺🤮😭🤟🏾🔥👏🏾✌🏾🤗🥴', 'Crazy 🙄🙄🙄🤦🏻\u200d♀️ sinundan pa ako sa bus ng busett na homeless na yon dafudge!!! Sana nga pala talaga tumawag na ko ng police']"
41,40,173,40_trump_donald_realdonaldtrump_supporters,"['trump', 'donald', 'realdonaldtrump', 'supporters', 'election', 'fauci', 'conspiracy', 'bunker', 'loses', 'trumps']","[""ABC News Prime: Hurricane Sally's epic deluge: Wall of flames fire fight, Trump ally takes leave @ABC https://t.co/lBBBOI74Gr"", 'Fox News contributor, attorney, Trump ally Geraldo Rivera: Donald Trump is “guilty as charged”.', 'Another Trump ally arrested']"
42,41,168,41_realdonaldtrump_obvious_streets_however,"['realdonaldtrump', 'obvious', 'streets', 'however', 'protest', 'thedemcoalition', 'reason', 'since', 'tedlieu', 'fred_guttenberg']","['@TheDemCoalition @realDonaldTrump Since we can go to streets to protest for obvious reason we can however, use the… https://t.co/rghMouLORy', '@TheDemCoalition @realDonaldTrump Since we can go to streets to protest for obvious reason we can however, use the… https://t.co/7grAtmhw4K', '@TheDemCoalition @realDonaldTrump Since we can go to streets to protest for obvious reason we can however, use the… https://t.co/1CGQZWpTaI']"
43,42,166,42_riots_protests_violence_violent,"['riots', 'protests', 'violence', 'violent', 'peaceful', 'riot', 'protest', 'rioting', 'looting', 'turn']","['@Acyn I don’t see violence looting or riots I see peaceful protest but #BLM', 'You want to know  why peaceful protests turn into riots', ""Riots aren't protests ...""]"
44,43,164,43_trump_obama_realdonaldtrump_kettle,"['trump', 'obama', 'realdonaldtrump', 'kettle', 'president', 'pot', 'construction', 'ez4yi3ayfk', 'fridaymorning', 'trumppressconference']","['trump is so damn ghetto', '@realDonaldTrump Now isn’t that the pot calling the kettle black', '@realDonaldTrump Pot, kettle, black']"
45,44,159,44_wildin_wild_nigga_durag,"['wildin', 'wild', 'nigga', 'durag', 'this', 'rio', 'wylin', 'henny', 'cornball', 'lmao']","['This nigga wild bro', 'This nigga wildin', 'This nigga is wildin 🤣']"
46,45,156,45_wellness_privilege_work_itsjustmindset,"['wellness', 'privilege', 'work', 'itsjustmindset', 'careergeeked', 'inclusion', 'job', 'diversity', 'honor', 'grateful']","['Everything is still happening for your good. #careergeeked #itsjustmindset #wellness #diversity #inclusion', 'Behind every wellness story there’s a lesson to inspire wellness daily. #careergeeked #itsjustmindset #wellness #diversity #inclusion', 'You got my thoughts in wellness over you. #careergeeked #itsjustmindset #wellness #diversity #inclusion']"
47,46,146,46_nazi_holocaust_nazis_germany,"['nazi', 'holocaust', 'nazis', 'germany', 'eugenics', 'hitler', 'nazism', 'reich', 'fascism', 'neo']","['Says the nazi', 'Ok nazi', 'Ok nazi']"
48,47,145,47_protesters_guard_national_protestors,"['protesters', 'guard', 'national', 'protestors', 'fairfax', 'arrested', 'military', 'monica', 'santa', 'hollywood']","['@tyleroakley But protest on San Vicente and Santa Monica. Major police and swat presence &amp; was told by a sheriff th… https://t.co/SRcB8VZbz7', '@tyleroakley Big protest on San Vicente and Santa Monica. Major police and swat presence &amp; was told by a sheriff th… https://t.co/M3sFnomG8B', 'Protestors shout “Don’t Shoot” in front of City Hall police officers and National Guard troops in DTLA Los Angeles.… https://t.co/1POpQD5jHU']"
49,48,145,48_nba_kobe_lakers_basketball,"['nba', 'kobe', 'lakers', 'basketball', 'players', 'postponed', 'scrimmage', 'canceled', 'mamba', 'jersey']","['Why is there no equality in the NBA?', ""This is how it's done. Thank you @Lakers @LAClippers #nba #blacklivesmatter"", 'time to black out for kobe’s']"
50,49,143,49_he_guy_women_him,"['he', 'guy', 'women', 'him', 'hates', 'papiavery', 'married', 'man', 'woman', 'kyle']","['Forrest Gump was a black man &amp; his father was Clayton Bigsby. \n#ForrestGump\n#ClaytonBigsy\n#DaveChappelle… https://t.co/qfsoTJcDbf', '@papiavery Man look at the stupid ass black guy saying that change right along with them...', '@Baby50s @ElieNYC @Yamiche I think he hates all women, but feels particular animus for black women who are unapolog… https://t.co/vHt27QaQcy']"
51,50,139,50_beach_pacific_huntington_santa,"['beach', 'pacific', 'huntington', 'santa', 'pan', 'pier', 'peaceful', 'protest', 'anaheim', 'park']","['There is a protest at the Huntington Beach Pier at 12:00 tomorrow afternoon.', 'Where are the protests in Huntington Beach now ?', 'the protests at huntington beach']"
52,51,136,51_rubber_bullets_protesters_tear,"['rubber', 'bullets', 'protesters', 'tear', 'gas', 'peaceful', 'bullet', 'protestors', 'protests', 'fired']","['Okay but a peaceful protest gets rubber bullets? Make this make sense', 'ppl lost eyes bc police were shooting rubber bullets at peaceful protesters.. must be nice tho..', 'Those protesters were peaceful, but military and DC police fired tear gas and rubber bullets directly into the crowd.']"
53,52,131,52_cuban_food_tacos_mexican,"['cuban', 'food', 'tacos', 'mexican', 'taco', 'puesto', 'peruvian', 'acapulco', 'mexicanfood', 'havana']","['Something about being high and eating cuban food is just so🥰🥰🥰🥰🥰🥰', 'i want cuban food, bad.', 'Want some cuban food bad as hell']"
54,53,121,53_chicken_fried_wings_sandwich,"['chicken', 'fried', 'wings', 'sandwich', 'eating', 'chickens', 'turkey', 'eat', 'popeyes', 'imnothimloll']","['Leave fried chicken to black people. Please and thank you', ""You don't wanna give black people free fried chicken?"", 'You better be talking about Chicken wings my nigga ,']"
55,54,120,54_bayareafunnies_these_them_niggas,"['bayareafunnies', 'these', 'them', 'niggas', 'kyrell', 'vroom', 'fuck', 'tay', 'foo', 'lmao']","['@Bigwaterwrist Ik al u bout is them twittier fingers lil nigga but that ain’t my steelo nigga drop yo motha fuckn p… https://t.co/8qbsh8GuAY', '@BlueDreamWayne @Ambiti0usK1ng_ @JamilxRiches @SelfMadeDuke @JayPizzle562_ @two3silver Them niggas gone get warm Hawaiian Punch', '@johnsonromeo22 @ayoitstero @Afri_kenna Idk, Meliodas could still give them niggas work lol. Ultra instinct dubs everything tho.']"
56,55,116,55_flex_muscles_flexin_ups,"['flex', 'muscles', 'flexin', 'ups', 'bone', 'push', 'stretching', 'slipping', 'bleedin', 'trainin']","['Ion even like to flex but sometimes I still be having to let you niggas know I’m still doing it', 'This is SUCH a flex 🙏🏾 I take pride in taking care of myself 🥰', 'i love when niggas flex they muscles and show me how strong they are LMAOOOO']"
57,56,115,56_matter_lives_blacklivesmatter_protests,"['matter', 'lives', 'blacklivesmatter', 'protests', 'protest', 'wholeheartedly', 'support', 'brochures', 'black_lives_matter', 'square']","['peaceful protest today! moved by the unity. no lives matter until black lives matter! https://t.co/u8MQLEpYFt', '@CHIRLA presente at the @BLMLA protest in Los Angeles.\n\nBlack Lives Matter!\nBlack Lives Matter!\nBlack Lives Matter! https://t.co/7TMPwTYx4Q', 'solidarity to all the protestors in Minneapolis, DC, and here in LA. All lives do not matter until Black lives matter.']"
58,57,111,57_racism_realdonaldtrump_systemic_america,"['racism', 'realdonaldtrump', 'systemic', 'america', 'racist', 'patriotism', 'liberalprivilege', 'isn', 'deadlier', 'country']","['Tim Scott: There is no racism in America.\n\nAmerica: 👇🏻', 'Because fake racism is so much deadlier than real ignorance. \n\nHoly hell. \n🗣#TruthMaverick #LiberalPrivilege', '@PrisonPlanet Because fake racism is so much deadlier than real ignorance. \n\nHoly hell. \n🗣#TruthMaverick #LiberalPrivilege']"
59,58,110,58_don_inconsiderate_xyz_niggas,"['don', 'inconsiderate', 'xyz', 'niggas', 'none', 'fwy', 'nomore', 'ain', 'gangsta', 'decisions']","['We don’t fight over niggas we replace them if he can get it together then erase em we ain’t arguing with no bitch a… https://t.co/qg5eP9EFu1', 'niggas think cause they don’t do xyz that others aren’t doing xyz https://t.co/RSMBFDSJnn', ""@DeadMansRequiem It's real, niggas is just selfish, make bad decisions, hoes, don't know how to control their emoti… https://t.co/NtaiAorag1""]"
60,59,109,59_murder_murdered_officer_detective,"['murder', 'murdered', 'officer', 'detective', 'killed', 'death', 'murderer', 'police', 'injured', 'innocent']","['Quite writer in the community public murder murder murder murder murder murder everyday by stupid faggot locals mad… https://t.co/W1R6Y279Bt', 'Another murder by police', 'Another #Murder by #police']"
61,60,107,60_stop_fuck_needa_shut,"['stop', 'fuck', 'needa', 'shut', 'dming', 'yo', 'fwm', 'mic', 'nigga', 'playing']","['Been told you stop fuckin wit that nigga', 'I’m wit my niggas I want you to try and stop me', 'Stop playing w/ my nigga 😘']"
62,61,107,61_protest_peaceful_proud_today,"['protest', 'peaceful', 'proud', 'today', 'attended', 'beautiful', 'felt', 'peacefully', 'experience', 'heartening']","['That protest was beautiful ❤️🙏🏾', 'Today’s protest was so beautiful and peaceful😭❤️❤️❤️❤️', 'Happy and proud that the peaceful protest today was so successful. It was an amazing turn out ✊🏿✊🏾✊🏽✊🏻🖤']"
63,62,105,62_he_fans_athletes_him,"['he', 'fans', 'athletes', 'him', 'nbadavet', 'nascar', 'scootermagruder', 'bruhs', 'ellenbarkin', 'players']","['@NBAdaveT @ScooterMagruder @drewbrees Additionally. Why is he able to speak his mind on the situation yet black ath… https://t.co/XBZzPxDFCv', ""@NBAdaveT @ScooterMagruder @drewbrees He's had these same black teammates and friends for years. The fact that this… https://t.co/nsejizkwDe"", ""Drew Brees is 41. He's played with countless black athletes. He's a father. He knows better. \n\nBut y'all wanna give… https://t.co/Y1giyt6bwC""]"
64,63,103,63_mcconnell_he_mitch_ted,"['mcconnell', 'he', 'mitch', 'ted', 'him', 'blah', 'questioning', 'his', 'veto', 'cruz']","[""Isn't it odd how the pride and joy of the Mitch McConnell led @SenateGOP was inaction and obstruction?"", ""@GOPChairwoman @CNN Remember back in the day when Mitch McConnell's pride and Glory was not doing anything?\n\nWell,… https://t.co/0tBe9WB8Xi"", 'I’m convinced Mitch McConnell has to be in the illuminati 🤔']"
65,64,103,64_brutality_end_violence_stop,"['brutality', 'end', 'violence', 'stop', 'instigates', 'police', 'reform', 'we', 'must', 'force']","['The goal needs to shift from just police brutality to poverty and police brutality as a pair of problems. The sympt… https://t.co/OOBFFGMAXF', 'we can’t only stop police brutality!!! \n\nwe must stop capitalism brutality!!!\n#freecollege #forgivestudentdebt \n-BA… https://t.co/krDevQQZrF', 'You ended police brutality ❤️']"
66,65,103,65_floyd_george_death_looting,"['floyd', 'george', 'death', 'looting', 'paddle', 'murder', 'devastates', 'justice', 'murdered', 'killed']","['George Floyd had the Coronavirus, but racism killed him.', '@realDonaldTrump George Floyd day - please it will show you care about police brutality #BlackLivesMatter', 'Justice for George Floyd and the other innocent black men that were killed']"
67,66,101,66_jesus_arise_mathematics_division,"['jesus', 'arise', 'mathematics', 'division', 'freedom', 'marcus', 'equality', 'nobody', '1stb', 'words']","['“When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love.” (Marcus Aurelius)', '”When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love.” ~Marcus A… https://t.co/zfKhKN3fzn', '""When you arise in the morning think of what a privilege it is to be alive, to think, to enjoy, to love."" - Marcus… https://t.co/63gs6fU07W']"
68,67,100,67_mayorofla_mayor_mayors_politicians,"['mayorofla', 'mayor', 'mayors', 'politicians', 'council', 'city', 'budget', 'defunding', 'governor', 'portland']","['They said the mayor of la is unstable because he cut the police budget', 'Mayors for every city should be out there protesting and making changes to their police departments. If not, they’re part of the problem', '@MayorOfLA @MayorOfLA I hope your LAPD reform includes mandated mental health services for all acting police officers.']"
69,68,98,68_bitch_her_giselle_dominick,"['bitch', 'her', 'giselle', 'dominick', 'ima', 'lilarajuanna', 'nasty', 'girl', 'another', 'nigger']","['This nigga a bitch 🤣🤣🤣🤣🤣🤣', 'This nigga a bitch 🤣', 'This nigga a bitch 😂']"
70,69,97,69_diversity_representation_writers_tv,"['diversity', 'representation', 'writers', 'tv', 'film', 'entertainment', 'inclusion', 'media', 'actors', 'casting']","['Again: This is why #inclusion &amp; true #diversity is so important in #Entertainment. Positive representation is one o… https://t.co/zKdIcj0Vp2', 'Diversity and representation matter in voice acting. Pass it on.', 'diversity on the show would be great tho 👍']"
71,70,96,70_armenians_armenian_armenia_azerbaijan,"['armenians', 'armenian', 'armenia', 'azerbaijan', 'turkish', 'belarus', 'kazakh', 'turkey', 'poland', 'underestimate']","['@N_Kechichian Nope. But it’s sad to see you, a 60 year old closeted gay Armenian man, shame young Armenians on Twit… https://t.co/S1CszCCNYj', '@carlabachk imagine saying armenians face the SAME racism black people face. half of the armenians i know are white… https://t.co/OeSpnPCcG5', 'a while person telling an armenian he has white privilege \nwtf kind of world are we in now']"
72,71,91,71_real_realist_realest_extinct,"['real', 'realist', 'realest', 'extinct', 'kept', 'cole', '3ixa0y4iah', 'xpvryfwkpa', 'demmmmmmmmmmm', 'chees']","['nigga this real?!', 'Real nigga 🙏🏾🙏🏾🙏🏾', 'Real nigga 💯']"
73,72,91,72_faded_done_gone_myself,"['faded', 'done', 'gone', 'myself', 'leave', 'left', 'survived', 'cursed', 'gettin', 'trip']","['Maaaa nigga I’m faded faded faded', 'i’m faded nigga', 'nigga I’m faded']"
74,73,89,73_kike_anja_ka_miss,"['kike', 'anja', 'ka', 'miss', 'te', 'bi', 'da', 'jet', 'diro', 'dtd_3']","['Cuando te da UF en las redes kike 💁🏻\u200d♂️🤷🏻\u200d♂️😁', 'bi de şey desene mesela ""çatlayın da patlayın ohh mohh aynaaa aduket"" amk', '@anjavuckovic Pardon, ljubi čika da porastu.\nMada ja tu ništa ne bi diro, majke mi. \nAnja, Anja ko će da te sanja...\n😂😂😂😂']"
75,74,88,74_person_florist_africaine_roots,"['person', 'florist', 'africaine', 'roots', 'only', 'grown', 'black', 'leryd073iw', 'w2jmgeb1zy', 'déplaise']","['I’ve grown up in the hood, burbs, and the country side of New York State and I must say that being a black man Amer… https://t.co/UEgw2z8LQS', 'Me. I’m black person', 'Je suis Afro américain, ma femme sera Africaine . Maghrébine ou noir Africaine . N’en déplaise à certains .']"
76,75,86,75_these_niggas_bangers_boo,"['these', 'niggas', 'bangers', 'boo', 'hittin', 'killin', 'lick', 'them', 'jlz3kbgmpd', 'jatiey7g49']","['@EmpressLaina These nigga stirring juice with a fuckin skillet \nAshy ass toes in the video 😂😂😂\nNiggas strollin to R… https://t.co/rSqM1T4jJf', 'These niggas in Hawthorne. Idk if they jerkers, skaters or gang bangers, but honestly upon further analysis, I beli… https://t.co/TpFM5k2SJT', 'niggas hiding,they know they dying, I put them slimes on they ass🐍 #ShotOff🚀 #TheFlyWay✈️ #FreeNukeBizzle🐍 #2k21🥇 @… https://t.co/mZv22iatB8']"
77,76,85,76_water_thirsty_drink_bottle,"['water', 'thirsty', 'drink', 'bottle', 'waterworld', 'drinking', 'watered', 'flint', 'grass', '40']","['See a nigga like me built different I’d just drink all the water', 'Y’all these niggas DO charge for water!!! I will be bringing my own water from now on!', 'i drink water niggas']"
78,77,81,77_joshuajered_drawn_guns_shot,"['joshuajered', 'drawn', 'guns', 'shot', 'statement', 'weapon', 'shooting', 'admitted', 'gun', 'police']","['@DolfanMitch @Joshuajered @barrackaid The police statement says the cops had their guns drawn.  Are you staying the… https://t.co/f8GS307r2d', '@DolfanMitch @Joshuajered @barrackaid From the police statement. The police admitted guns were drawn. You fo realiz… https://t.co/6bDtReANPM', '@MermaidMaggie @Joshuajered The police statement admitted Guns were drawn.']"
79,78,78,78_unity_peace_bekind_love,"['unity', 'peace', 'bekind', 'love', 'earthcrisis', 'newplan', 'compassion', 'empathy', 'empowerment', '20daysofkindness']","['Love , hope and unity', 'peace✌🏽 love❤️ unity 👫respect ✊🏽', '💙❤💙❤💙💙💙💙❤💙❤❤❤❤❤💙💙❤❤❤💙💙💙🤍🤍🤍🤍🤍💯💯💯💯💯💯🇺🇲 peace ✌ &amp; unity']"
