Topic,Count,Name,Representation,Representative_Docs
15,1240,15_money_cash_dollars_pay,"['money', 'cash', 'dollars', 'pay', 'dollar', 'paid', 'owe', 'cashapp', 'bills', 'paying']","['I love money I don’t love niggas', 'All my niggas really want the money.....', 'All money in nigga']"
16,1155,16_funny_funniest_hilarious_jokes,"['funny', 'funniest', 'hilarious', 'jokes', 'comedy', 'laugh', 'laughing', 'joke', 'comedian', 'laughed']","['You niggas are funny', '😂😂 niggas is funny!!', 'This nigga funny 😂']"
17,1050,17_ya_em_ain_pussy,"['ya', 'em', 'ain', 'pussy', 'nigga', 'trick', 'yo', 'got', 'lt', 'bitch']","['it’s always “ she’s the crazy ex “ and never “ why is she the crazy ex “ ? like “ go on nigga . tell em why i’m crazy “', 'it’s always “ she’s the crazy ex “ and never “ why is she the crazy ex “ ? like “ go on nigga . tell em why i’m crazy “ .', '“ Pussy niggas out here tryna kill me im gonna make music and all these people gonna feel me”']"
18,1010,18_baby_pregnant_kids_mama,"['baby', 'pregnant', 'kids', 'mama', 'dad', 'daddy', 'momma', 'father', 'moms', 'babies']","['So if any nigga woulda get you pregnant you would keep it no matter what ? Or you just wanted his baby ?', 'bitch and nigga I still like u  baby mama', 'Ima get one of you niggas pregnant']"
19,1002,19_china_chinese_communist_ccp,"['china', 'chinese', 'communist', 'ccp', 'beijing', 'que', 'en', 'chineseactress', 'trump2020', 'por']","['And the good china', 'fuck china', 'fuck china']"
20,983,20_kill_die_dead_died,"['kill', 'die', 'dead', 'died', 'dying', 'killed', 'death', 'killing', 'funeral', 'alive']","['I’m gonna kill you my nigga 😂😂😂😂😂😂😂😂', 'You niggas kill me !', 'u niggas kill me 😂']"
21,972,21_privilege_pretty_showing_access,"['privilege', 'pretty', 'showing', 'access', 'recognize', 'entitlement', 'privileged', 'aware', 'acknowledging', 'check']","['This is privilege', '#privilege', 'privilege']"
22,955,22_slave_labor_owners_owner,"['slave', 'labor', 'owners', 'owner', 'trade', 'master', 'masters', 'slaves', 'wages', 'mentality']","['could never be a slave to the money', ""Be a good slave and do as you're told"", 'What?! You go slave lol']"
23,947,23_privilege_white_finest_whiteprivilege,"['privilege', 'white', 'finest', 'whiteprivilege', 'exists', 'exist', 'display', 'its', 'male', 'jmannato1210']","['This is white privilege', 'White privilege 👇', 'White privilege 🤦🏻\u200d♂️🤦🏻\u200d♂️🤦🏻\u200d♂️']"
24,933,24_movies_movie_films_film,"['movies', 'movie', 'films', 'film', 'actors', 'horror', 'cast', 'shows', 'show', 'cinema']","['A nigga who likes horror movies&gt;&gt;', 'wait is the argument that someone doesn’t like old movies or doesn’t like black and white movies.', 'see? you can have black movies that dont involve racial trauma, this movie is amazing.']"
25,911,25_gay_ur_l3402761h_homosexual,"['gay', 'ur', 'l3402761h', 'homosexual', 'sounds', 'ihavesex420', 'jenomlp', 'dvmivn8', 'kinda', 'gaston']","['@L3402761H awww poor lil gay boi', '@L3402761H gay', '@L3402761H gay']"
26,904,26_he_him_his_nigga,"['he', 'him', 'his', 'nigga', 'himself', 'von', 'king', 'mike', 'did', 'was']","['Most niggas like him do 😂', 'He a real nigga', 'I been listening to this nigga king von and he keep doing the same shit every story 😭🤦🏾\u200d♂️']"
27,872,27_hair_dye_dyed_blonde,"['hair', 'dye', 'dyed', 'blonde', 'dying', 'jet', 'again', 'miss', 'back', 'dyeing']","['why do i want black hair', 'Time to dye my hair black', 'i want black hair']"
28,844,28_fascism_fascist_fascists_democracy,"['fascism', 'fascist', 'fascists', 'democracy', 'antifa', 'authoritarian', 'potomacbeat', 'against', 'authoritarianism', 'anti']","['That’s fascism at work:', 'fascism', 'Fuck fascism']"
29,817,29_mexican_mexicans_hispanic_mexico,"['mexican', 'mexicans', 'hispanic', 'mexico', 'mafia', 'spanish', 'parents', 'mom', 'usmnttakes', 'household']","['These Mexican bitches be on a nigga 😅', 'this how it is when your girl mexican 😂', 'mexican men*']"
30,808,30_diversity_inclusion_equity_lack,"['diversity', 'inclusion', 'equity', 'lack', 'hiring', 'diverse', 'initiatives', 'cultural', 'companies', 'tech']","['Talk about diversity', 'this is diversity', 'Diversity means no diversity']"
31,779,31_lives_matter_matters_until,"['lives', 'matter', 'matters', 'until', 'mattered', 'life', 'blue', 'black', 'saying', 'say']","['black lives matter', 'black lives matter✊🏽', 'black lives matter']"
32,777,32_spittin_nigga_wylin_ooo,"['spittin', 'nigga', 'wylin', 'ooo', 'sadmaxx370', 'lil', 'niggazwilin', 'real', 'this', 'https']","['@lilbaby4PF n Dugg be makin bangers niggas gotta decipher 😂😂😂 https://t.co/cpqy3kesfP', '@lilbaby4PF n Dugg be makin bangers niggas gotta decipher 😂😂😂 #worldstarhiphop #worldstar #explore #explorepage… https://t.co/xHjcAly4dB', 'this nigga @1GunnaGunna real asf 🤣😂😂🤣✨ ~ fck u talm bout @Sauce_Walka102 ~ i fwu too, but kut that shit out, tryna… https://t.co/0wFolMY08S']"
33,776,33_trump_realdonaldtrump_president_donald,"['trump', 'realdonaldtrump', 'president', 'donald', 'hitler', 'msm', 'drag', 'house', 'trumps', 'kicking']","['Fuck that nigga and fuck Donald Trump‼️', 'My nigga FUCK DONALD TRUMP', 'Fuck this nigga trump !!']"
34,772,34_voters_vote_voting_votes,"['voters', 'vote', 'voting', 'votes', 'democrats', 'republicans', 'democratic', 'republican', 'democrat', 'voter']","['But the Republicans ARE scared of black people voting.', 'Hey Democrat black voters. You ok with this?', 'the black vote']"
35,734,35_love_fell_affectionate_fall,"['love', 'fell', 'affectionate', 'fall', 'regrets', 'show', 'hood', 'nigga', 'aşırı', 'em']","['😂😂😂😂 I love this nigga', 'I love this nigga', 'Love this nigga']"
36,710,36_protesters_protestors_peaceful_cops,"['protesters', 'protestors', 'peaceful', 'cops', 'protesting', 'tear', 'protests', 'brutality', 'violence', 'police']","['How can I help out the #police? I want to help beat the shit out of protesters. Violence should be met with violence', 'This is why people riot, police don’t even respect protesters. FUCK THE POLICE', 'I hope the police take their tear gas and rubber bullets for these “peaceful protesters” 🙄🙄🙄']"
37,707,37_nazi_nazis_germany_hitler,"['nazi', 'nazis', 'germany', 'hitler', 'neo', 'sympathizer', 'rounded', 'ovens', 'german', 'nazism']","['I did nazi that coming', 'Fucking nazi', '#nazi shit.']"
38,694,38_pride_aside_swallow_ego,"['pride', 'aside', 'swallow', 'ego', 'put', 'stubborn', 'sometimes', 'lose', 'side', 'take']","['Put the pride aside', 'put my pride aside 4 u', 'That pride shit :/']"
39,690,39_bitches_bitch_bad_swallow,"['bitches', 'bitch', 'bad', 'swallow', 'niggas', 'wit', 'mad', 'hoes', 'actin', 'fw']","['All these bitches know you my nigga', 'u niggas are bitches', 'All these niggas have bitches']"
40,681,40_he_his_him_racism,"['he', 'his', 'him', 'racism', 'icecube', 'racist', 'community', 'himself', 'blacks', 'folks']","['What the fuck? Talk about racism - if he was not white - he would be dead!', '@bgbwhs Yes, it entails phoning works leaders begging them to nominate him for a Peace Prize because it kills him the black guy got one.', 'Tell him racism is American history so he should jus take his F now...']"
41,676,41_businesses_owned_business_support,"['businesses', 'owned', 'business', 'support', 'small', 'supporting', 'shop', 'owners', 'spend', 'invest']","['Support black businesses ✊🏽✊🏾✊🏿', 'I support black businesses.', 'Support black owned businesses.']"
42,672,42_president_trump_obama_donald,"['president', 'trump', 'obama', 'donald', 'done', 'realdonaldtrump', 'barack', 'lincoln', 'barackobama', 'supporters']","[""It's never been so much the love of Trump, but the hate of the black Obama."", 'Why not?... First black president.', 'Obama wasn’t shit but the first black president']"
43,651,43_athletes_players_coaches_nfl,"['athletes', 'players', 'coaches', 'nfl', 'coach', 'sports', 'football', 'player', 'quarterbacks', 'team']","['Why not. Most nfl players are black anyway. Let them represent.', 'No black players? 👀', 'All black players !!!']"
44,640,44_election_vote_republicans_voting,"['election', 'vote', 'republicans', 'voting', 'politics', 'votersuppression', 'unity', 'democrats', 'party', 'republican']","['#vote and report #votersuppression !!', 'I don’t even live out there but this nigga got my vote 😭😭💯', '#VOTE #blm']"
45,631,45_fairy_tale_tales_godmother,"['fairy', 'tale', 'tales', 'godmother', 'tail', 'pu', 'princess', 'dust', 'pixie', 'magic']","['I just wanna be a fairy', 'p*$$y fairy really my shit and B.S.', 'like a fairy']"
46,625,46_eat_eating_bread_hungry,"['eat', 'eating', 'bread', 'hungry', 'food', 'plate', 'starving', 'eatin', 'ate', 'feed']","['But you niggas don’t eat it right 😣', 'Lol but niggas eat ass?', 'all these niggas eat ass']"
47,611,47_meal_prep_fannyb00_dinner,"['meal', 'prep', 'fannyb00', 'dinner', 'meals', 'food', 'cooking', 'services', 'week', 'lunch']","['We meal prep for him', 'I love meal prep', 'Need to meal prep']"
48,598,48_him_shot_he_officer,"['him', 'shot', 'he', 'officer', 'police', 'killed', 'arrested', 'arrest', 'his', 'gun']","[""if you don't report him to the police"", 'A now-former Cleveland police officer fatally shot Tamir Rice six years ago today. I hope that you remember him and… https://t.co/nadcEdJXBY', 'Why?? Why didn’t the police stop him?']"
49,598,49_sleep_asleep_sleeping_slept,"['sleep', 'asleep', 'sleeping', 'slept', 'wake', 'nap', 'bed', 'snoring', 'woke', 'sleepy']","['A nigga can’t sleep 🙄', 'A nigga can’t sleep', 'My nigga sleep 🙄']"
50,597,50_these_niggas_hoes_fuck,"['these', 'niggas', 'hoes', 'fuck', 'them', 'tamar', 'talkin', 'tripppin', 'bruh', 'madara']","['Fuck these niggas !', 'All these niggas *', 'These niggas 💀']"
51,597,51_drag_queens_queen_digital,"['drag', 'queens', 'queen', 'digital', 'performance', 'show', 'performer', 'brunch', 'shows', 'lt']","['I think the drag queens of old would be proud 🧙🏻\u200d♀️', 'I thought these were drag queens 😗🥴', 'This is a drag']"
52,592,52_memorial_weekend_day_service,"['memorial', 'weekend', 'day', 'service', 'happy', 'fallen', 'memorialday', 'memorialdayweekend', 'corey', 'veterans']","['I want to do something for memorial weekend!', 'i’m so mad about memorial day', 'memorial day']"
53,585,53_cat_cats_kitty_kitten,"['cat', 'cats', 'kitty', 'kitten', 'rolfatwarwick', 'doja', 'kittens', 'rolfie', 'adopt', 'luck']","['I want a black cat 🥺', 'I want a black cat', 'I want a black cat']"
54,574,54_twitter_tweets_tweet_tweeting,"['twitter', 'tweets', 'tweet', 'tweeting', 'retweet', 'retweets', 'retweeting', 'tweeted', 'tweetin', 'lt']","['I’d hate to be a Twitter bitch nigga 🤦🏾\u200d♂️', 'get off Twitter nigga 🤣', 'What’s a twitter nigga ?']"
55,571,55_gay_am_homosexual_migraines,"['gay', 'am', 'homosexual', 'migraines', 'lipa', 'rain', 'dua', 'straight', 'af', 'im']","['I’m gay', 'i’m gay', 'i’m gay']"
56,562,56_boss_job_work_hiring,"['boss', 'job', 'work', 'hiring', 'jobs', 'bosses', 'working', 'hire', 'manager', 'worker']","['I made myself a boss it ain no nigga working me', 'You a boss I’m a boss too . Them other niggas lame ima do you right', 'One of my niggas don’t talk, he a Boss.']"
57,551,57_ones_grey_label_sharpie,"['ones', 'grey', 'label', 'sharpie', 'black', '1s', 'one', 'matte', 'pair', 'gifs']","['@YUNGRAJEE I still need me some black ones and some red ones smh', 'I’ll take the white and black ones', 'the black ones 😍']"
58,546,58_asian_asians_asia_raya,"['asian', 'asians', 'asia', 'raya', 'east', 'oriental', 'south', 'parents', 'glow', 'subtle']","['Where the asian girls at 🤩', 'i’m not asian and i’m always getting told i’m pretty for someone who’s asian like if asian people are ugly????', 'You think you gotta be asian to do it ?']"
59,527,59_pronouns_bio_preferred_correct,"['pronouns', 'bio', 'preferred', 'correct', 'use', 'bios', 'profile', 'their', 'identify', 'respect']","['My pronouns will now be it and this', 'my pronouns are “y’all” and “all y’all”', 'his pronouns are he/he']"
60,525,60_her_she_report_officer,"['her', 'she', 'report', 'officer', 'police', 'filed', 'lady', 'herself', 'shot', 'dorseyryan']","['I filed a police report on this same lady back in October 2019 due to a physical attack ON ME. Nothing came of it.… https://t.co/QY5uagnqlU', 'I filed a police report on this same lady back in October 2019 due to a physical attack ON ME. Nothing came of it.… https://t.co/JTKStXaEg2', 'I filed a police report on this same lady back in October 2019 due to a physical attack ON ME. Nothing came of it.… https://t.co/isA1s9uoqs']"
61,510,61_old_age_older_young,"['old', 'age', 'older', 'young', '30', '25', 'olds', '21', '18', '40']","['Young nigga shit nigga we don’t age.', 'How old are you niggas ?!', '😂😩🤦🏾\u200d♀️ 🗣🗣all old niggas ❌❌']"
62,496,62_lesbian_lesbians_tok_tik,"['lesbian', 'lesbians', 'tok', 'tik', 'girlfriend', 'ebony', 'tia', 'vibes', 'demi', 'arielbrayy']","['They all lesbian 😖', 'this but in lesbian', 'But in lesbian']"
63,489,63_mask_masks_wearing_face,"['mask', 'masks', 'wearing', 'face', 'wear', 'gloves', 'facemask', 'afropunk', 'afrofuturism', 'cotton']","['Wonder why the black mask?', 'People Looking like some aliens and shit with these mask on 😂', 'Y’all niggas in la better be wearing mask']"
64,486,64_bisexual_bisexuals_attracted_pansexual,"['bisexual', 'bisexuals', 'attracted', 'pansexual', 'bisexuality', 'girlcock', 'peggingonly', 'strapon', 'bi', 'threesomes']","[""I'm bisexual so all of them"", 'bisexual', 'bisexual']"
65,484,65_skinny_fat_tall_weight,"['skinny', 'fat', 'tall', 'weight', 'height', 'size', 'pounds', 'thick', 'lbs', 'taller']","['Y’all got these fat ass niggas trying to beef with me I always been skinny gained weight now I’m skinny again 👅', 'I guess I have to learn to be into skinny niggas here there r not enough fat ppl here n they don’t b fat for fat.', 'I eat like a fat nigga just to stay skinny 😂🥺']"
66,474,66_reveal_parties_gender_party,"['reveal', 'parties', 'gender', 'party', 'fire', 'fires', 'wildfire', 'caused', 'eldoradofire', 'pyrotechnics']","['A gender reveal party. A GOD DAMN GENDER REVEAL PARTY DID THIS!!!', 'We’re not going to have a gender reveal party.', 'This what I want at my gender reveal party']"
67,472,67_blacklivesmatter_blm_laprotest_alllivesmatter,"['blacklivesmatter', 'blm', 'laprotest', 'alllivesmatter', 'nojusticenopeace', 'theshowmustbepaused', 'amplifymelanatedvoices', 'blmla', 'icantbreathe', 'repost']","['#DivrsifyOrDie \n#ERvsRG \n\n.\n.\n.\n#blacklivesmatter #blackandwhite #alllivesmatter #alllivesmatters #lariots #lariot… https://t.co/Xn4MxDuBhA', '#DivrsifyOrDie \n@er7879 @RoninGray .\n.\n.\n.\n#blacklivesmatter #blackandwhite #alllivesmatter #alllivesmatters… https://t.co/TmWr9epBzY', 'Everyone be very careful if you see this thing come out #laprotest #blacklivesmatter #blm']"
68,464,68_smoke_smoking_smoked_blunt,"['smoke', 'smoking', 'smoked', 'blunt', 'cigarettes', 'cigarette', 'smoker', 'nicotine', 'smokes', 'smokers']","['i smoke in a week what these niggas smoke in a day', 'got smoke for you niggas you can get it if you want it 😤', 'nigga smoke then']"
69,460,69_race_drag_season_racing,"['race', 'drag', 'season', 'racing', 'rupaul', 'rupauls', 'finale', 'uk', 'watching', 'watch']","['I’m watching drag race season 5 for the first time 😈', 'This drag race season /:', 'I love drag race']"
70,457,70_activity_lanes_sigalert_fwy,"['activity', 'lanes', 'sigalert', 'fwy', 'sb', 'closed', 'nb', 'ave', 'wb', 'due']","['!!sigalert!! police activity is in the three left lanes in #DowntownLa on 110 (SR-110 Pasadena Fwy) SB after 5th St… https://t.co/xDwwa2Xrqq', '!!sigalert!!  two right lanes shutdown for police activity in #HighlandPark on 110 (SR-110 Pasadena Fwy) NB at Ave… https://t.co/9ecy5mZZcJ', '!! sigalert !! three right lanes closed due to police activity. in #DowntownLa on 110 (SR-110 Pasadena Fwy) NB at 3… https://t.co/5tDcNdiDoX']"
71,457,71_god_jesus_verse_bible,"['god', 'jesus', 'verse', 'bible', 'preaching', 'christ', 'church', 'lord', 'pastor', 'preach']","['On God cause a nigga like me will really do it 🤷🏽\u200d♂️', 'I love niggas on god', 'On god this how niggas be 🤣🤣']"
72,455,72_lakers_kobe_basketball_nba,"['lakers', 'kobe', 'basketball', 'nba', 'knicks', 'rockets', 'lebron', 'celtics', 'game', 'mj']","['Lakers is DOING these niggas', 'Over you niggas @Lakers', 'Lakers are gay']"
73,451,73_equality_ccvihhtv2k_loopholes_equity,"['equality', 'ccvihhtv2k', 'loopholes', 'equity', 'equalityforall', 'equal', 'fairness', 'fight', 'freedom', 'human']","['Do you want privilege or do you want equality?', 'equality', 'equality']"
74,431,74_movie_actors_characters_queer,"['movie', 'actors', 'characters', 'queer', 'movies', 'episode', 'character', 'film', 'films', 'gay']","['Just watched a gay movie', 'This movie made me gay', 'How gay does this movie think it is']"
75,428,75_angeles_california_los_blacklivesmatter,"['angeles', 'california', 'los', 'blacklivesmatter', 'theshowmustbepaused', 'downtown', 'hills', 'calabasas', 'beverly', 'georgefloyd']","['#blacklivesmatter #theshowmustbepaused #blm #icantbreathe @ Los Angeles, California https://t.co/ySj20Egm1S', 'Downtown Los Angeles. 6.20\n#blacklivesmatter @ Downtown Los Angeles https://t.co/Yoo7PAkinx', 'This needs to happen in Los Angeles today! #blacklivesmatter @ Los Angeles, California https://t.co/BzploOj8Ga']"
76,427,76_revenge_lucky_quote_color,"['revenge', 'lucky', 'quote', 'color', 'casi', 'sets', 'negro', 'blacks', 'killing', 'lives']","['“They should be lucky that all the Black people are looking for is is equality and not revenge”.  - Kimberly Jones', '“Y’all lucky black people just want equality and not revenge” heard that line and it just hit me deep for some reason', '“They are lucky that what black people are looking for is equality and not revenge”']"
77,422,77_brutality_violence_police_violent,"['brutality', 'violence', 'police', 'violent', 'beating', 'statistics', 'victims', 'encounters', 'victim', 'domestic']","['There is police brutality.', 'There is police brutality.', 'That’s police brutality']"
78,421,78_supreme_justice_court_scotus,"['supreme', 'justice', 'court', 'scotus', 'confirm', 'mcconnell', 'trump', 'realdonaldtrump', 'senate', 'president']","['This is the man who is breaking Senate norms to confirm a new Supreme Court justice during an election so that the… https://t.co/C3h7mGjE8X', 'I’m calling it now. The Senate will confirm a new SCOTUS justice after Trump loses the election in November while Trump is still in office.', '@realDonaldTrump Put a new Supreme Court justice in ASAP']"
79,413,79_asians_asian_anti_discrimination,"['asians', 'asian', 'anti', 'discrimination', 'americans', 'towards', 'against', 'racism', 'crimes', 'racist']","['asians are the whites of POC 🤗🇰🇷🇯🇵🇨🇳🇻🇳', 'Crazy some Asians hate black folks more than the white folks do🥴🥴🥴', 'white men with asian women']"
80,413,80_phone_phones_android_mobile,"['phone', 'phones', 'android', 'mobile', 'games', 'ayy', 'answer', 'dnd', 'answering', 'autocorrected']","['Where these niggas get a phone from?', 'Take this niggas phone 💀💀', 'Take this niggas phone']"
81,411,81_car_drive_driving_cars,"['car', 'drive', 'driving', 'cars', 'freeway', 'truck', 'traffic', 'corvette', 'driver', 'passenger']","['This why niggas don’t get in the car with me', 'i can tell a lot about a nigga by the car he drive', 'The nigga was about to drive his car like that too?']"
82,404,82_solidarity_stand_thank_thebreathingroom,"['solidarity', 'stand', 'thank', 'thebreathingroom', 'class', 'workers', 'unity', 'standing', 'sending', 'unhoused']","['#solidarity', 'solidarity 🥳', '#solidarity']"
83,399,83_panther_panthers_chadwick_wakandaforever,"['panther', 'panthers', 'chadwick', 'wakandaforever', 'rip', 'chadwickboseman', 'wakanda', 'movie', 'boseman', 'challa']","['I still have never seen black panther', 'Black panther but it’s just me and the hoes, call it black panther', 'Literally.... this is my black panther']"
84,394,84_drunk_drink_drinking_liquor,"['drunk', 'drink', 'drinking', 'liquor', 'drank', 'bottle', 'alcohol', 'drinks', 'alcoholic', 'alcoholics']","['Drunk ass niggas', 'So all y’all niggas drunk but me', 'This nigga drunk']"
85,393,85_rich_richest_millionaire_richer,"['rich', 'richest', 'millionaire', 'richer', 'picky', 'broke', 'millionaires', 'wealthy', 'billionaire', 'roddy']","['Rich nigga shit', 'All my niggas rich', 'This nigga rich rich']"
86,387,86_trump_racism_realdonaldtrump_donald,"['trump', 'racism', 'realdonaldtrump', 'donald', 'supporters', 'trumps', 'racist', 'supports', 'president', 'racistinchief']","['@MarkDice @realDonaldTrump But trump  actually be a white supremacist.  Not just a racist. Trump = kkK. What does it make you? A nazi lover', 'That was a good answer about systemic racism for Trump 🤷\u200d♀️', 'Are you Trump supporters, your racism is showing.']"
87,386,87_budget_funding_budgets_departments,"['budget', 'funding', 'budgets', 'departments', 'defunding', 'mayorofla', 'funds', 'million', 'department', 'money']","['Sounds like we need more funding for the police', 'In the case of LA, police budget was 1.1 billion. The mayor is wanting to cut $150 million from the budget is to be… https://t.co/6sPSSZwAOb', 'The city budget for general funding is 646 million dollars. 42 percent of general funding goes to the police department.']"
88,380,88_jail_prison_bail_arrested,"['jail', 'prison', 'bail', 'arrested', 'jaire', 'arrest', 'probation', 'criminal', 'somebody', 'jailbreak']","['Fucking with you is like jail nigga', 'all y’all got niggas in jail? lol', 'Y’all love the niggas in jail🤦🏾\u200d♀️😂']"
89,372,89_clothes_dress_designer_wear,"['clothes', 'dress', 'designer', 'wear', 'wearing', 'dressing', 'outfits', 'outfit', 'shorts', 'shirt']","['I love a nigga that can dress and not just in designer...', 'I buy/wear more nigga clothes than girl clothes . That’s weird ?', ""It's something about niggas who wear clothes that's not too little 😍""]"
90,372,90_biden_joe_vote_voters,"['biden', 'joe', 'vote', 'voters', 'predators', 'trump', 'blacks', 'president', 'wins', 'ktforbiden']","['What Joe Biden said about black voters is 💯. Straight up and down its 💯.\n\nIts just that Joe Biden said it lol', 'They will use racism against Biden.', 'You ain’t black if you don’t vote for joe Biden']"
91,372,91_music_metal_album_band,"['music', 'metal', 'album', 'band', 'artists', 'hip', 'jazz', 'albums', 'grammys', 'hop']","['There would be no music without black people and our culture.\n#BlackLivesMatter', 'I only listen to black ass music , been', ""I'm like black music but not black people""]"
92,371,92_latinas_latinx_latina_latine,"['latinas', 'latinx', 'latina', 'latine', 'spanish', 'latino', 'loyal', 'faithful', 'baddies', 'queeeeeeeen']","['It’s me I’m latinas', 'me i’m latinas', 'latinas 🤤']"
93,369,93_quarantine_quarantined_during_quarantining,"['quarantine', 'quarantined', 'during', 'quarantining', 'bored', 'stuck', 'gonna', 'ticket', 'sucks', 'got']","['Quarantine got a niggas going crazy', 'The quarantine getting to niggas', 'Quarantine got niggas like...']"
94,365,94_hole_holes_universe_galaxy,"['hole', 'holes', 'universe', 'galaxy', 'space', 'into', 'sucked', 'revolves', 'outer', 'orbiting']","['What if a black hole hit another black hole a call?', 'This is a black hole.', 'The black hole']"
95,364,95_car_mercedes_truck_wheels,"['car', 'mercedes', 'truck', 'wheels', 'bmw', 'cars', 'benz', 'toyota', 'honda', 'ford']","['I will have a black Mercedes at some point in my life.', 'They said because I have a hot girl car with the black tinted windows on a white  Mercedes . So it’s automatic 😂😂', 'Historically- black on black Mercedes Benz ,']"
96,361,96_unity_unity3d_umoja_nation,"['unity', 'unity3d', 'umoja', 'nation', 'division', 'divide', 'strength', 'gopchairwoman', 'leadermcconnell', 'unreal']","['#unity', '#unity', '#unity']"
97,361,97_mexican_food_restaurant_tacos,"['mexican', 'food', 'restaurant', 'tacos', 'salsa', 'chips', 'beans', 'restaurants', 'burritos', 'taco']","['I need mexican food right now 🥵', 'I need some mexican food today', 'i want some mexican food']"
